,A,B,R_val,R_z_score,R_p_val
1761,Endothelia_vascular_Cap_g,Muscle_smooth_pulmonary,-0.0477835172994546,-12.943106480694897,1.0
2904,Muscle_pericyte_airway,Suprabasal,-0.04832033244602989,-13.088513432615809,1.0
2064,Fibro_adventitial,NKT,-0.04905760378715489,-13.288217891656428,1.0
2232,Fibro_peribronchial,Muscle_airway,-0.04918588386692283,-13.322965076996162,1.0
3119,SMG_Duct,Secretory_Club,-0.04918759857442023,-13.323429539283083,1.0
1875,Endothelia_vascular_arterial_systemic,SMG_Duct,-0.049671830219504165,-13.454593214496983,1.0
3015,NAF_endoneurial,SMG_Mucous,-0.049728514352982256,-13.469947228115844,1.0
1786,Endothelia_vascular_arterial_pulmonary,Fibro_adventitial,-0.04979571485216823,-13.48814980644571,1.0
2046,Fibro_adventitial,Macro_int,-0.05009117269714265,-13.568180381091254,1.0
2624,Macro_dividing,SMG_Serous,-0.05011568239541106,-13.574819315444069,1.0
697,CD4_TRM,Fibro_adventitial,-0.05017833861219812,-13.59179098541282,1.0
2167,Fibro_immune_recruiting,Suprabasal,-0.05044173795808989,-13.663137884375017,1.0
449,B_plasma_IgG,SMG_Duct,-0.050821892125568834,-13.766110125575352,1.0
2037,Fibro_adventitial,ILC,-0.0510851837402963,-13.837427843430556,1.0
2032,Fibro_adventitial,Fibro_alveolar,-0.0511424988873431,-13.852952779498665,1.0
2051,Fibro_adventitial,Macrophage_intermediate,-0.05115949641363531,-13.857556894162927,1.0
1566,Dividing_Basal,Endothelia_vascular_Cap_g,-0.051251080598995316,-13.88236427398877,1.0
2249,Fibro_peribronchial,SMG_Serous,-0.05206729024150613,-14.103450726193241,1.0
344,B_plasma_IgA,Ionocyte_n_Brush,-0.05222251119816896,-14.14549537848478,1.0
2048,Fibro_adventitial,Mast_cell,-0.05235550944613782,-14.18152057257878,1.0
326,B_plasma_IgA,Deuterosomal,-0.05237216169747132,-14.18603116272228,1.0
1135,Chondrocyte,SMG_Mucous,-0.052440277899932976,-14.20448177731385,1.0
2063,Fibro_adventitial,NK_CD16hi,-0.05251960169583398,-14.225968189257229,1.0
1322,DC_2,SMG_Serous,-0.0525209382051984,-14.226330209133408,1.0
1575,Dividing_Basal,Fibro_myofibroblast,-0.05264754234078039,-14.260623431992343,1.0
2053,Fibro_adventitial,Monocyte_CD16,-0.052692957379924694,-14.27292498953123,1.0
