,A,B,R_val,R_z_score,R_p_val
569,Basal,Macro_alv,-0.04549858708568239,-12.324188143803273,1.0
2595,Macro_alv,Secretory_Goblet,-0.04583358310586631,-12.4149284116801,1.0
2596,Macro_alv,Suprabasal,-0.04623022054184483,-12.52236547069623,1.0
1472,Deuterosomal,Macro_alv,-0.04628120615109622,-12.536175926828795,1.0
1567,Dividing_Basal,Endothelia_vascular_arterial_pulmonary,-0.046851027501293524,-12.690523258867103,1.0
2825,Monocyte_CD14,SMG_Duct,-0.04690249883231196,-12.704465282303756,1.0
1173,Ciliated,Macro_dividing,-0.04706549967424094,-12.748617269699496,1.0
2357,Ionocyte_n_Brush,Muscle_pericyte_parenchyma,-0.047201212436884625,-12.785377743539845,1.0
1175,Ciliated,Macro_CCL,-0.047279022798723404,-12.806454212069136,1.0
2490,Macro_interstitial,Secretory_Goblet,-0.04764550486497614,-12.905723095459358,1.0
2919,Muscle_pericyte_parenchyma,SMG_Duct,-0.04767410891103949,-12.913471064526943,1.0
69,AT1,SMG_Duct,-0.04807032016577717,-13.020792683962817,1.0
116,AT2,Ionocyte_n_Brush,-0.048472558980077796,-13.129746986584255,1.0
566,Basal,Macro_interstitial,-0.04876433071969574,-13.20877910701746,1.0
2491,Macro_interstitial,Suprabasal,-0.04898124743083174,-13.26753526914928,1.0
1688,Endothelia_vascular_Cap_a,Ionocyte_n_Brush,-0.04920033901425449,-13.326880538261502,1.0
578,Basal,Monocyte_CD16,-0.049686663085589555,-13.45861098832376,1.0
2857,Monocyte_CD16,Suprabasal,-0.0497383157834078,-13.472602138529112,1.0
2856,Monocyte_CD16,Secretory_Goblet,-0.04979893004512319,-13.489020704762199,1.0
1772,Endothelia_vascular_Cap_g,SMG_Duct,-0.04982123558525416,-13.495062599485339,1.0
1741,Endothelia_vascular_Cap_g,Ionocyte_n_Brush,-0.049985032149515586,-13.539430123941974,1.0
147,AT2,SMG_Duct,-0.05001098750679274,-13.546460643501206,1.0
1719,Endothelia_vascular_Cap_a,SMG_Duct,-0.05026262306448968,-13.61462108881103,1.0
1469,Deuterosomal,Macro_interstitial,-0.05034555298362486,-13.637084290234133,1.0
2117,Fibro_alveolar,SMG_Serous,-0.05060708138045702,-13.70792440580601,1.0
1164,Ciliated,Fibro_perichondrial,-0.050693367716828155,-13.731296758922706,1.0
2353,Ionocyte_n_Brush,Monocyte_CD14,-0.050772860095053385,-13.752828834707856,1.0
100,AT2,Dividing_Basal,-0.05110813216482135,-13.843643876049722,1.0
1172,Ciliated,Macro_alv,-0.051149869764189525,-13.854949326619327,1.0
940,CD8_EM_EMRA,SMG_Mucous,-0.051527388007109085,-13.95720757575346,1.0
1179,Ciliated,Macrophage_intermediate,-0.05159259067768757,-13.974869002869305,1.0
555,Basal,Erythrocyte,-0.05178341763274275,-14.026558240879712,1.0
2562,Macro_alveolar_metallothioneins,Suprabasal,-0.052354230387262404,-14.181174114298702,1.0
2029,Erythrocyte,Suprabasal,-0.05248270231919485,-14.215973266574611,1.0
2448,Macro_CHIT1,SMG_Mucous,-0.052500250216527926,-14.220726460071669,1.0
568,Basal,Macro_alveolar_metallothioneins,-0.05261791209263345,-14.252597495885299,1.0
2561,Macro_alveolar_metallothioneins,Secretory_Goblet,-0.0526744729739179,-14.26791812422077,1.0
1481,Deuterosomal,Monocyte_CD16,-0.052895466159117714,-14.327778479615366,1.0
